id,headline,gold_label
5308,Climate change activists plan for protests across US,real
11848,"full frontal with samantha bee mocks cancer patient for nazi hair "". ",misinfo
8964,"Climate Change Is ""Not a Threat""?",misinfo
16523,Climate change: British Airways reviews 'fuel-tankering' over climate concerns,real
11195,Tom Steyer: 'We fight climate change by treating every issue like a climate issueThat's how we save our planet',misinfo
9287,COVID-19 and bronchitis: Risks and precautions,real
13555,"Recently, Petrol companies reduced Rs. 6.40 on petrol and on Diesel Rs. 6.80.",misinfo
12609,"The 2019 novel coronavirus (nCoV) is a ""type of rabies"" that can be contracted by eating bats.",misinfo
16333,Ontario environment minister calls out dogmatic McKenna,real
116,"What Joe Walsh thinks about immigration, climate change and Trump",real
16503,'They Need To Wake Up In 2020'  Frustration As UN Climate Summit Grinds To A Close,real
4485,"Eat herbs, curmin, like people in India, and you will be safe from COVID-19.",misinfo
7143,Anti-Trump AG Sued For Using Bloomberg-Funded Attorneys To Promote A Climate Crusade,misinfo
3238,"In Protesting Climate Change, Jane Fonda Brings Hollywood to Washington",real
680,"Dr. Anthony Fauci said: ""as soon as a COVID-19 vaccine is manufactured, it must be delivered to healthcare professionals for immediate human injection. Proper studies can be done later.""",misinfo
18182,Met ireann tells staff to look on the bright side of climate change,real
7919,A woman's brain was punctured when she got a nasal test for coronavirus,misinfo
15657,Coronavirus in poultry products has been confirmed by the Bihar Health Department.,misinfo
6912,A policeman in Poland argues that pandemic is a fiction.,misinfo
9129,"COVID-19 Among American Indian and Alaska Native Persons - 23 States, January 31-July 3, 2020",real
