id,premise,hypothesis,explanation,type,idiom
3524,The events might not effect the balance of power.,These events could shape the balance of power.,"If the events could shape the balance of power, it means they have the potential to change who has more power, however, the other statement is saying that the events have no effect.",Metaphor,nan
5294,His voice sounded incredibly fast and energetic,His voice sounded like a 78-rpm record turned down to 33 1/3.,"33 1/3 is a slow speed for a record, and 78 rpm is a fast speed, so saying his voice sounded like a 78 rpm record turned down to 33 1/3 would mean it sounded slow, not fast",Simile,nan
3289,And the song this shape detracted.,And the song this shape  suggested.,"To suggest something means to bring it to mind or make it appear, while to detract from something means to take away from it or diminish it.",Metaphor,nan
5554,Avoid taking the full brunt of it and forget about it.,Just take it on the chin and forget about it.,"To take it on the chin means to receive the full brunt of something, but in this context the speaker wants the person to avoid taking the full brunt of it.",Idiom,take it on the chin
1984,"His eyes were dark, and his skin was so pale it looked blue.","His skin was pale and blue, and his eyes were like a glacier crevasse.","A glacier crevasse is a deep, dark hole in the ice, so the eyes are both dark and deep-set.",Simile,nan
2462,My daughter's boyfriend got drunk and attacked my husband.,My daughter's boyfriend was great at displaying peace by getting extremely drunk and helpfully assaulting my husband, The fact that the daughter's boyfriend got drunk and assaulted the husband shows that he is not a peaceful person and was probably just trying to cause trouble.,Sarcasm,nan
2831,I was waiting for a friend for an hour to go to dinner and she wouldn't answer her phone!,I was so happy waiting for my friend for a long hour to go to dinner when she wouldn't answer her phone!,Most people would not wait for an hour for someone who is not answering their phone and so the speaker is displaying an exaggerated sense of happiness but is irritated instead.,Sarcasm,nan
6680,The dimples on his cheeks disappeared.,Dimples nestled in his cheeks.,In one sentence it is saying that the Dimples are settled on his cheeks whereas another sentence states that the dimples are disappeared.,Metaphor,nan
6688,The hotel had a bad view,The hotel had a view as beautiful as the back alley of a harware  store,"The back alley of a hardware store is usually dirty and unappealing, so the simile is saying that the view from the hotel is just as bad.",Simile,nan
2364,The professor described the whole chapter in a few words.,The professor described the whole chapter in a nutshell.,"To describe something in a nutshell means to summarize it in only a few words, which is what the professor did in regards to the chapter.",Idiom,in a nutshell
4767,I used to steal money from my dad's wallet as a kid.,I was really young when I started stealing money from my dad's wallet and I feel just great about it now,"Stealing is wrong and not at all great and it cannot be justified at any point by the age of the person doing it, even if they were young.",Sarcasm,nan
5106,"Infant formula and cereal would be ideal, but we can't work with some warm milk and watered-down oatmeal.","Infant formula and cereal would be ideal, but we can make due with some warm milk and watered-down oatmeal.","To make due means to make the best use of whatever is provided, but in this context they can't work with what's provided",Idiom,make due
73,I can't believe I didn't fit into my old wedding dress.,I was really pleased that I could not fit into my old wedding dress from when I got married 5 years ago,Wedding dresses are often very expensive and so not being able to fit into an old one means that the person has gained weight and is not happy about it.,Sarcasm,nan
2016,"When I eliminated the opportunity for sloane and walked back to be with lucah, I felt as if I was being torn in half.","When I shut the door on sloane and walked back to be with lucah, I felt as if I was being torn in half.","To shut the door on someone or something means to eliminate an opportunity for them, which is what happened in this context.",Idiom,shut the door on
3320,A break up can fill you with enthusiasm and energy that can lead to a new and exciting relationship.,A break up can leave you with a broken heart.,"A break up will leave you feeling heartbroken, so it cannot fill you with enthusiasm and energy to make you feel good and happy for the future.",Metaphor,nan
1081,"It's as if the sun disappeared, leaving the streets bustling and loud.","The sun is nowhere to be found, and the streets are like a ghost town.","A ghost town is a town that is abandoned, so it would be empty and not bustling and loud",Simile,nan
2145,Till it acquired the form and features.,Till it took the form and features.,"Took means to get or to receive something, so, in this case, the thing that is being received is the form and features of something.",Metaphor,nan
2860,I wish I was taller.,I feel so thrilled that other people are taller than me and can reach things on high shelves.,"Being shorter than others often has disadvantages such as not being able to reach things on high shelves, so someone who is thrilled about it is not being realistic.",Sarcasm,nan
2107,"Fell , and could not improve their situation from weakness.","Fell , and could not  rise  from weakness ,",To  rise  from weakness means to get up from being weak.,Metaphor,nan
2085,Life is very difficult to understand and it poses many problems which needs to be solved.,Life is a foreign language: all men mispronounce it.”.,"Life is very difficult to understand like trying to learn a foreign language, which is hard to understand and there are a lot of mistakes that can be made.",Metaphor,nan
